# Header file for experiments scripts
# Field description follows
# DataDir FFConstant TopologyFile NumMotes  Time(sec) TopologyTag
06-Jan-2005-2 10 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 10 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 10 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 10 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 10 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 10 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 10 topos/20RING.nss 20 1800 RING
06-Jan-2005-2 50 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 50 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 50 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 50 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 50 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 50 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 50 topos/20RING.nss 20 1800 RING
06-Jan-2005-2 100 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 100 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 100 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 100 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 100 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 100 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 100 topos/20RING.nss 20 1800 RING
06-Jan-2005-2 250 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 250 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 250 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 250 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 250 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 250 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 250 topos/20RING.nss 20 1800 RING
06-Jan-2005-2 500 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 500 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 500 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 500 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 500 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 500 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 500 topos/20RING.nss 20 1800 RING
06-Jan-2005-2 1000 topos/11RING.nss 11 1800 RING
06-Jan-2005-2 1000 topos/12RING.nss 12 1800 RING
06-Jan-2005-2 1000 topos/13RING.nss 13 1800 RING
06-Jan-2005-2 1000 topos/14RING.nss 14 1800 RING
06-Jan-2005-2 1000 topos/15RING.nss 15 1800 RING
06-Jan-2005-2 1000 topos/16RING.nss 16 1800 RING
06-Jan-2005-2 1000 topos/20RING.nss 20 1800 RING
